Age,City,Current Status,Do you own multiple profiles on Instagram?,Gender,Highest Education,Location (City Airport Code),Phone OS,State,Zone,"How many followers do you have on Instagram? (In case of multiple accounts, please mention the one with the maximum)",How many posts do you have on Instagram?,Latitude,Longitude,Time Spent on Facebook in last week (in minutes),Time Spent on Facebook in last weekend (in minutes),Time Spent on Instagram in last week (in minutes),Time Spent on Instagram in last weekend (in minutes),Time Spent on WhatsApp in last week (in minutes),Time Spent on WhatsApp in last weekend (in minutes),Total Facebook Usage,Total Instagram Usage,Total Social Media Usage,Total Week Usage,Total Weekend Usage,Total WhatsApp Usage
24,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,456,20,28.651952,77.231495,0,0,770,400,900,120,0,"1,170","2,190","1,670",520,"1,020"
39,Delhi,Working professional,No,Female,Post graduation,DEL,iOs,Delhi,Northern,0,0,28.651952,77.231495,"6,000","2,160",0,0,"5,000","2,000","8,160",0,"15,160","11,000","4,160","7,000"
22,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,400,6,18.987807,72.836447,500,"2,000","1,000","1,000","7,000","2,000","2,500","2,000","13,500","8,500","5,000","9,000"
26,Bengaluru,Sabbatical,Yes,Female,Graduation,BLR,Android,Karnataka,Southern,485,16,12.977063,77.587106,"1,500","1,500","2,000","2,000","1,680","1,680","3,000","4,000","10,360","5,180","5,180","3,360"
50,Delhi,Working professional,No,Male,Graduation,DEL,iOs,Delhi,Northern,0,0,28.651952,77.231495,"1,500","1,500",0,0,"2,400","1,300","3,000",0,"6,700","3,900","2,800","3,700"
25,Vishakhapatnam,Working professional,Yes,Female,Post graduation,VTZ,Android,Andhra Pradesh,Southern,790,220,17.704052,83.297663,"1,000","1,200","3,000",840,"2,100",600,"2,200","3,840","8,740","6,100","2,640","2,700"
52,Jaipur,Working professional,No,Male,Post graduation,JAI,Android,Rajasthan,Northern,0,0,26.913312,75.787872,300,900,0,215,"1,800","1,500","1,200",215,"4,715","2,100","2,615","3,300"
45,Durgapur,Sabbatical,No,Female,Graduation,RDP,Android,WEST BENGAL,Eastern,0,0,23.5204443,87.3119227,983,873,0,0,583,834,"1,856",0,"3,273","1,566","1,707","1,417"
25,Bengaluru,Student,No,Male,Graduation,BLR,Android,Karnataka,Southern,"1,232",340,12.977063,77.587106,"1,160",870,"1,240",340,"1,760",450,"2,030","1,580","5,820","4,160","1,660","2,210"
27,Delhi,Student,Yes,Male,Graduation,DEL,Android,Delhi,Northern,594,37,28.651952,77.231495,480,840,720,300,"3,000",600,"1,320","1,020","5,940","4,200","1,740","3,600"
